127.0.0.1 - - [05/May/2022:21:39:43 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:39:51 +0900] "GET /WEB-INF/classes/works/yermi/controller/HomeController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/May/2022:21:39:51 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/May/2022:21:39:58 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:11 +0900] "GET /index HTTP/1.1" 200 22224
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:13 +0900] "GET /resources/assets/homespace/css/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:13 +0900] "GET /resources/assets/homespace/css/bootstrap.min.css HTTP/1.1" 200 159477
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:14 +0900] "GET /resources/assets/homespace/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:14 +0900] "GET /resources/assets/homespace/css/jquery.fancybox.min.css HTTP/1.1" 200 12795
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:14 +0900] "GET /resources/assets/homespace/fonts/icomoon/style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/homespace/css/style.css HTTP/1.1" 200 40762
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/homespace/fonts/flaticon/font/flaticon.css HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/tour/fonts/flaticon/font/flaticon.css HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/homespace/css/aos.css HTTP/1.1" 200 25949
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/tour/css/daterangepicker.css HTTP/1.1" 200 7658
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/tour/fonts/icomoon/style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/tour/css/style.css HTTP/1.1" 200 36019
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/tour/css/aos.css HTTP/1.1" 200 25949
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/css/tiny-slider.css HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/css/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/fonts/icomoon/style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/fonts/flaticon/font/flaticon.css HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/css/glightbox.min.css HTTP/1.1" 200 14276
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:15 +0900] "GET /resources/assets/blogy/css/style.css HTTP/1.1" 200 287241
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/blogy/css/flatpickr.min.css HTTP/1.1" 200 16069
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/property/fonts/icomoon/style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/property/fonts/flaticon/font/flaticon.css HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/property/css/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/property/css/tiny-slider.css HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/property/css/style.css HTTP/1.1" 200 278704
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:16 +0900] "GET /resources/assets/homespace/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
